frame.time,frame.len,frame.protocols,eth.src,eth.dst,ip.dst,ip.src,ip.flags,ip.ttl,ip.proto,ip.checksum,ip.tos,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size_value,tcp.window_size_scalefactor,tcp.checksum,tcp.options,tcp.pdu.size,udp.srcport,udp.dstport,label
"Jan 14, 2025 18:40:10.397697000 GMT",68,eth:ethertype:ip:tcp:mqtt,02:42:e8:8a:b5:00,0c:03:36:87:00:00,192.168.4.2,192.168.20.31,0x02,64,6,0xbeed,,44229.0,1883.0,0x0018,502.0,-1.0,0x1fd0,0101080a6be0130a27064a75,2.0,,,Benign
"Jan 14, 2025 18:40:10.405220000 GMT",68,eth:ethertype:ip:tcp:mqtt,0c:03:36:87:00:00,02:42:e8:8a:b5:00,192.168.20.31,192.168.4.2,0x02,61,6,0x04c4,,1883.0,44229.0,0x0018,501.0,-1.0,0xae0f,0101080a2706ac346be0130a,2.0,,,Benign
"Jan 14, 2025 18:40:10.405272000 GMT",66,eth:ethertype:ip:tcp,02:42:e8:8a:b5:00,0c:03:36:87:00:00,192.168.4.2,192.168.20.31,0x02,64,6,0xbeee,,44229.0,1883.0,0x0010,502.0,-1.0,0x7e10,0101080a6be013112706ac34,,,,Benign
"Jan 14, 2025 18:40:40.388553000 GMT",67,eth:ethertype:ip:udp:dns,02:42:e8:8a:b5:00,0c:03:36:87:00:00,192.168.0.2,192.168.20.31,0x02,64,17,0xde27,,,,,,,,,,40294.0,53.0,Benign
"Jan 14, 2025 18:40:40.405604000 GMT",83,eth:ethertype:ip:udp:dns,0c:03:36:87:00:00,02:42:e8:8a:b5:00,192.168.20.31,192.168.0.2,0x02,61,17,0x7727,,,,,,,,,,53.0,40294.0,Benign
"Jan 14, 2025 18:40:40.405746000 GMT",90,eth:ethertype:ip:udp:ntp,02:42:e8:8a:b5:00,0c:03:36:87:00:00,192.168.0.3,192.168.20.31,0x02,64,17,0xa92f,,,,,,,,,,38620.0,123.0,Benign
"Jan 14, 2025 18:40:40.434716000 GMT",68,eth:ethertype:ip:tcp:mqtt,02:42:e8:8a:b5:00,0c:03:36:87:00:00,192.168.4.2,192.168.20.31,0x02,64,6,0xbeeb,,44229.0,1883.0,0x0018,502.0,-1.0,0x48b7,0101080a6be0885f2706ac34,2.0,,,Benign
"Jan 14, 2025 18:40:40.436029000 GMT",90,eth:ethertype:ip:udp:ntp,0c:03:36:87:00:00,02:42:e8:8a:b5:00,192.168.20.31,192.168.0.3,0x02,61,17,0xf7b1,,,,,,,,,,123.0,38620.0,Benign
"Jan 14, 2025 18:40:40.441767000 GMT",68,eth:ethertype:ip:tcp:mqtt,0c:03:36:87:00:00,02:42:e8:8a:b5:00,192.168.20.31,192.168.4.2,0x02,61,6,0x04c3,,1883.0,44229.0,0x0018,501.0,-1.0,0xc360,0101080a270721896be0885f,2.0,,,Benign
"Jan 14, 2025 18:40:40.441807000 GMT",66,eth:ethertype:ip:tcp,02:42:e8:8a:b5:00,0c:03:36:87:00:00,192.168.4.2,192.168.20.31,0x02,64,6,0xbeec,,44229.0,1883.0,0x0010,502.0,-1.0,0x9361,0101080a6be0886627072189,,,,Benign
